Customer_ID,Age_group,Gender,Loyality_Status
CU00001,60+,Female,Gold
CU00002,60+,Female,Non-Member
CU00003,36-45,Male,Gold
CU00004,26-35,Female,Silver
CU00005,46-60,Female,Non-Member
CU00006,46-60,Male,Silver
CU00007,46-60,Female,Bronze
CU00008,46-60,Male,Bronze
CU00009,26-35,Female,Silver
CU00010,36-45,Male,Non-Member
CU00011,18-25,Female,Silver
CU00012,18-25,Male,Bronze
CU00013,60+,Male,Gold
CU00014,60+,Male,Non-Member
CU00015,46-60,Male,Silver
CU00016,26-35,Male,Silver
CU00017,46-60,Male,Gold
CU00018,36-45,Female,Non-Member
CU00019,46-60,Male,Bronze
CU00020,36-45,Female,Gold
CU00021,18-25,Female,Bronze
CU00022,26-35,Female,Non-Member
CU00023,60+,Male,Bronze
CU00024,60+,Female,Gold
CU00025,36-45,Male,Bronze
CU00026,36-45,Female,Bronze
CU00027,36-45,Female,Gold
CU00028,18-25,Male,Non-Member
CU00029,26-35,Male,Silver
CU00030,26-35,Female,Gold
CU00031,26-35,Female,Gold
CU00032,26-35,Female,Non-Member
CU00033,18-25,Female,Non-Member
CU00034,36-45,Female,Silver
CU00035,36-45,Male,Silver
CU00036,36-45,Male,Gold
CU00037,26-35,Male,Non-Member
CU00038,36-45,Female,Non-Member
CU00039,36-45,Female,Bronze
CU00040,36-45,Male,Silver
CU00041,60+,Female,Bronze
CU00042,36-45,Female,Non-Member
CU00043,46-60,Male,Non-Member
CU00044,26-35,Female,Silver
CU00045,26-35,Male,Bronze
CU00046,26-35,Female,Non-Member
CU00047,26-35,Male,Bronze
CU00048,36-45,Male,Silver
CU00049,60+,Male,Non-Member
CU00050,46-60,Female,Non-Member
CU00051,46-60,Female,Silver
CU00052,46-60,Female,Gold
CU00053,36-45,Male,Silver
CU00054,60+,Female,Bronze
CU00055,46-60,Female,Non-Member
CU00056,36-45,Female,Gold
CU00057,26-35,Female,Silver
CU00058,46-60,Female,Silver
CU00059,46-60,Male,Bronze
CU00060,26-35,Male,Gold
CU00061,36-45,Male,Silver
CU00062,18-25,Female,Non-Member
CU00063,36-45,Male,Silver
CU00064,60+,Female,Non-Member
CU00065,18-25,Female,Silver
CU00066,46-60,Female,Non-Member
CU00067,36-45,Male,Silver
CU00068,26-35,Male,Non-Member
CU00069,36-45,Female,Bronze
CU00070,18-25,Male,Silver
CU00071,60+,Male,Silver
CU00072,26-35,Male,Silver
CU00073,60+,Female,Non-Member
CU00074,46-60,Male,Silver
CU00075,46-60,Female,Non-Member
CU00076,36-45,Female,Gold
CU00077,26-35,Male,Non-Member
CU00078,18-25,Male,Bronze
CU00079,36-45,Male,Silver
CU00080,60+,Female,Silver
CU00081,26-35,Male,Silver
CU00082,60+,Female,Bronze
CU00083,46-60,Female,Gold
CU00084,46-60,Female,Silver
CU00085,18-25,Male,Non-Member
CU00086,36-45,Male,Non-Member
CU00087,18-25,Male,Bronze
CU00088,18-25,Female,Silver
CU00089,60+,Female,Silver
