S.No.,Transaction_ID,Date,Store_ID,Customer_id,Product_ID,Quantity,Revenue,Discount,Festival Name,Payment Mode
1,TXN000001,10-04-2025,ST292,CU04014,PR0586,2,8352,50,Holi,UPI
2,TXN000002,18-03-2025,ST114,CU05899,PR0955,10,8032,37,Holi,Card
3,TXN000003,23-03-2025,ST287,CU04904,PR0787,10,16547,13,Diwali,Cash
4,TXN000004,22-09-2025,ST101,CU03704,PR0758,4,3623,18,Sankranti,Cash
5,TXN000005,01-10-2025,ST072,CU09023,PR0491,3,2446,36,Holi,UPI
6,TXN000006,12-08-2025,ST209,CU09027,PR0977,7,5734,47,Holi,UPI
7,TXN000007,10-01-2025,ST183,CU08341,PR0487,5,18420,26,Diwali,Card
8,TXN000008,26-01-2025,ST018,CU02344,PR0428,6,4021,20,Normal Day,Card
9,TXN000009,16-09-2025,ST452,CU09143,PR0631,10,16854,8,Diwali,UPI
10,TXN000010,12-04-2025,ST297,CU01471,PR0341,6,9262,40,Diwali,Cash
11,TXN000011,11-11-2025,ST468,CU03019,PR0872,3,8234,13,Diwali,Card
12,TXN000012,23-02-2025,ST425,CU00740,PR0294,2,8145,45,Sankranti,UPI
13,TXN000013,07-05-2025,ST133,CU07247,PR0193,4,6488,49,Holi,Card
14,TXN000014,28-08-2025,ST104,CU03101,PR0840,9,8675,28,Diwali,Card
15,TXN000015,07-04-2025,ST434,CU05591,PR0767,2,18305,30,Diwali,UPI
16,TXN000016,18-06-2025,ST292,CU03160,PR0857,5,15087,22,Diwali,UPI
17,TXN000017,28-03-2025,ST191,CU06861,PR0804,3,4409,0,Holi,UPI
18,TXN000018,10-08-2025,ST205,CU05024,PR0717,1,7619,19,Sankranti,Card
19,TXN000019,18-09-2025,ST307,CU09206,PR0975,5,8883,5,Sankranti,Cash
20,TXN000020,10-12-2025,ST266,CU02078,PR0230,10,6228,21,Diwali,UPI
21,TXN000021,09-02-2025,ST322,CU07991,PR0969,6,5364,43,Diwali,Card
22,TXN000022,17-12-2025,ST210,CU03397,PR0609,6,12653,21,Diwali,Cash
23,TXN000023,06-04-2025,ST205,CU05882,PR0879,3,242,15,Normal Day,UPI
24,TXN000024,01-07-2025,ST350,CU00387,PR0270,6,7881,15,Diwali,Card
25,TXN000025,01-05-2025,ST066,CU06281,PR0070,2,7239,33,Sankranti,Cash
26,TXN000026,20-07-2025,ST237,CU01436,PR0257,3,5960,10,Diwali,Cash
27,TXN000027,24-06-2025,ST380,CU09666,PR0883,10,7462,48,Holi,UPI
28,TXN000028,04-12-2025,ST109,CU02777,PR0622,2,7258,10,Sankranti,Cash
29,TXN000029,27-07-2025,ST150,CU06089,PR0179,2,9131,1,Holi,Card
30,TXN000030,14-12-2025,ST423,CU09862,PR0090,10,8817,22,Holi,Card
31,TXN000031,13-11-2025,ST009,CU01128,PR0101,8,15399,46,Diwali,UPI
32,TXN000032,21-09-2025,ST314,CU09815,PR0464,3,8326,47,Holi,Card
33,TXN000033,01-05-2025,ST483,CU02840,PR0981,7,1118,27,Normal Day,Cash
34,TXN000034,18-03-2025,ST342,CU07807,PR0660,2,9064,9,Diwali,UPI
35,TXN000035,01-11-2025,ST481,CU09982,PR0830,4,16823,14,Diwali,UPI
36,TXN000036,08-10-2025,ST371,CU05547,PR0929,1,10392,32,Sankranti,Cash
37,TXN000037,02-10-2025,ST093,CU03479,PR0523,6,9477,30,Sankranti,Card
38,TXN000038,25-11-2025,ST244,CU06561,PR0122,6,9675,11,Sankranti,UPI
39,TXN000039,04-07-2025,ST103,CU03092,PR0626,9,11281,28,Sankranti,Cash
40,TXN000040,11-11-2025,ST447,CU09796,PR0794,9,8431,50,Holi,UPI
41,TXN000041,04-06-2025,ST186,CU00605,PR0753,4,6950,49,Holi,Cash
42,TXN000042,18-10-2025,ST123,CU05254,PR0726,3,3392,5,Normal Day,UPI
43,TXN000043,21-04-2025,ST197,CU09372,PR0298,7,9620,48,Holi,UPI
44,TXN000044,20-05-2025,ST471,CU08897,PR0691,10,11981,9,Diwali,Card
45,TXN000045,10-03-2025,ST203,CU00671,PR0921,1,8738,20,Holi,UPI
46,TXN000046,15-07-2025,ST049,CU02539,PR0330,3,12238,0,Diwali,UPI
47,TXN000047,01-02-2025,ST489,CU07390,PR0309,4,3949,36,Sankranti,Card
48,TXN000048,12-08-2025,ST240,CU02857,PR0319,8,6350,37,Holi,Cash
49,TXN000049,25-03-2025,ST378,CU08578,PR0535,4,9956,11,Holi,Cash
50,TXN000050,13-01-2025,ST399,CU00595,PR0884,8,1187,32,Normal Day,Card
51,TXN000051,27-04-2025,ST480,CU09569,PR0830,6,11645,48,Diwali,Cash
52,TXN000052,01-02-2025,ST251,CU02427,PR0046,4,195,24,Normal Day,UPI
53,TXN000053,17-03-2025,ST351,CU08448,PR0782,6,13346,44,Sankranti,Cash
54,TXN000054,06-08-2025,ST343,CU08152,PR0290,4,3197,20,Normal Day,Cash
55,TXN000055,25-10-2025,ST309,CU03112,PR0864,3,4199,41,Holi,Cash
56,TXN000056,01-09-2025,ST485,CU02610,PR0899,7,1586,46,Normal Day,Card
57,TXN000057,09-09-2025,ST119,CU02967,PR0178,9,12610,46,Diwali,UPI
58,TXN000058,08-02-2025,ST471,CU07465,PR0339,10,1025,21,Normal Day,UPI
59,TXN000059,27-07-2025,ST141,CU08471,PR0086,5,3770,0,Holi,UPI
60,TXN000060,12-02-2025,ST288,CU06161,PR0074,8,7572,48,Diwali,Cash
61,TXN000061,01-02-2025,ST294,CU01663,PR0891,9,12420,33,Diwali,Card
62,TXN000062,16-09-2025,ST083,CU05957,PR0441,2,8340,18,Holi,Card
63,TXN000063,24-11-2025,ST042,CU03455,PR0554,1,3026,35,Sankranti,Cash
64,TXN000064,02-05-2025,ST114,CU06302,PR0126,5,3521,22,Sankranti,Cash
65,TXN000065,07-12-2025,ST275,CU07323,PR0293,8,4431,3,Normal Day,UPI
66,TXN000066,19-08-2025,ST442,CU00797,PR0055,3,12373,20,Sankranti,UPI
67,TXN000067,18-10-2025,ST469,CU05458,PR0741,7,4992,23,Holi,UPI
68,TXN000068,23-08-2025,ST305,CU02302,PR0008,1,7855,26,Diwali,Card
69,TXN000069,25-08-2025,ST500,CU07201,PR0139,3,6163,31,Holi,UPI
